trial_id,measurement_noise,outcome,distance_from_separatrix,earliest_stable_fraction,confidence_margin
75,0.15,1,0.011437949008130891,0.05,0.15
76,0.0,0,0.005973434381525591,0.05,0.15
76,0.02,0,0.005973434381525591,0.05,0.15
76,0.05,0,0.005973434381525591,0.1,0.15
76,0.1,0,0.005973434381525591,0.1,0.15
76,0.15,0,0.005973434381525591,0.1,0.15
77,0.0,1,0.1293850353205941,0.05,0.15
77,0.02,1,0.1293850353205941,0.05,0.15
77,0.05,1,0.1293850353205941,0.05,0.15
77,0.1,1,0.1293850353205941,0.05,0.15
77,0.15,1,0.1293850353205941,0.1,0.15
78,0.0,1,0.08347573674869273,0.05,0.15
78,0.02,1,0.08347573674869273,0.05,0.15
78,0.05,1,0.08347573674869273,0.05,0.15
78,0.1,1,0.08347573674869273,0.05,0.15
78,0.15,1,0.08347573674869273,0.05,0.15
79,0.0,0,0.012660018928931064,0.2,0.15
79,0.02,0,0.012660018928931064,0.15,0.15
79,0.05,0,0.012660018928931064,0.15,0.15
79,0.1,0,0.012660018928931064,0.2,0.15
79,0.15,0,0.012660018928931064,0.15,0.15
80,0.0,1,0.038981146874884916,0.5,0.15
80,0.02,1,0.038981146874884916,0.5,0.15
80,0.05,1,0.038981146874884916,0.5,0.15
80,0.1,1,0.038981146874884916,0.1,0.15
80,0.15,1,0.038981146874884916,0.1,0.15
81,0.0,1,0.022347908123392997,0.3,0.15
81,0.02,1,0.022347908123392997,0.3,0.15
81,0.05,1,0.022347908123392997,0.3,0.15
81,0.1,1,0.022347908123392997,0.2,0.15
81,0.15,1,0.022347908123392997,0.2,0.15
82,0.0,0,0.2139336191895141,0.05,0.15
82,0.02,0,0.2139336191895141,0.05,0.15
82,0.05,0,0.2139336191895141,0.05,0.15
82,0.1,0,0.2139336191895141,0.05,0.15
82,0.15,0,0.2139336191895141,0.05,0.15
83,0.0,1,0.010307138980638557,0.3,0.15
83,0.02,1,0.010307138980638557,0.3,0.15
83,0.05,1,0.010307138980638557,0.3,0.15
83,0.1,1,0.010307138980638557,0.3,0.15
83,0.15,1,0.010307138980638557,0.3,0.15
84,0.0,0,0.016631532720204185,0.05,0.15
84,0.02,0,0.016631532720204185,0.05,0.15
84,0.05,0,0.016631532720204185,0.05,0.15
84,0.1,0,0.016631532720204185,0.1,0.15
84,0.15,0,0.016631532720204185,0.1,0.15
85,0.0,1,0.032655805277737086,0.15,0.15
85,0.02,1,0.032655805277737086,0.15,0.15
85,0.05,1,0.032655805277737086,0.15,0.15
85,0.1,1,0.032655805277737086,0.15,0.15
85,0.15,1,0.032655805277737086,0.15,0.15
86,0.0,0,0.13695235084749174,0.05,0.15
86,0.02,0,0.13695235084749174,0.05,0.15
86,0.05,0,0.13695235084749174,0.05,0.15
86,0.1,0,0.13695235084749174,0.05,0.15
86,0.15,0,0.13695235084749174,0.05,0.15
87,0.0,0,0.22301313630047845,0.05,0.15
87,0.02,0,0.22301313630047845,0.05,0.15
87,0.05,0,0.22301313630047845,0.05,0.15
87,0.1,0,0.22301313630047845,0.05,0.15
87,0.15,0,0.22301313630047845,0.05,0.15
88,0.0,0,0.16010661749539923,0.1,0.15
88,0.02,0,0.16010661749539923,0.1,0.15
88,0.05,0,0.16010661749539923,0.1,0.15
88,0.1,0,0.16010661749539923,0.1,0.15
88,0.15,0,0.16010661749539923,0.1,0.15
89,0.0,1,0.01032155817305387,0.15,0.15
89,0.02,1,0.01032155817305387,0.15,0.15
89,0.05,1,0.01032155817305387,0.15,0.15
89,0.1,1,0.01032155817305387,0.15,0.15
89,0.15,1,0.01032155817305387,0.15,0.15
90,0.0,0,0.0068741805868447,0.05,0.15
90,0.02,0,0.0068741805868447,0.05,0.15
90,0.05,0,0.0068741805868447,0.05,0.15
90,0.1,0,0.0068741805868447,0.05,0.15
